dim,group,estimand,model,estimate,se,ci_lo,ci_hi
ethnicity,Malay,turnout,M1_lpm,0.6370437211095886,0.0070990923802551975,0.624175451694763,0.6510173308877988
ethnicity,Malay,turnout,M2_logit,0.6375070399023174,0.007057595836865989,0.6246716741601631,0.6510397566429187
ethnicity,Malay,turnout,M3_probit,0.6375075098196048,,,
ethnicity,Malay,turnout,M2ml_logit_noprior,0.6375078051282295,,,
ethnicity,Malay,turnout,M4_context,0.509968986722235,,,
ethnicity,Malay,turnout,M5_within_seat,0.6295896243381274,0.006014784146985589,0.6186585396014603,0.6408744695734788
ethnicity,Chinese,turnout,M1_lpm,0.43879765627485556,0.009365745068602764,0.4210078836689075,0.45643266110119884
ethnicity,Chinese,turnout,M2_logit,0.43846372188043115,0.009306836049990514,0.42052526929706946,0.4558163537080066
ethnicity,Chinese,turnout,M3_probit,0.43846414205956247,,,
ethnicity,Chinese,turnout,M2ml_logit_noprior,0.43846439589487946,,,
ethnicity,Chinese,turnout,M4_context,0.5639103874292476,,,
ethnicity,Chinese,turnout,M5_within_seat,0.44620808836395254,0.008593934239618062,0.4288510646651734,0.4611344582590672
ethnicity,Indian,turnout,M1_lpm,0.3090213940109717,0.0471897290216812,0.21143244176884707,0.3926748976730373
ethnicity,Indian,turnout,M2_logit,0.30967653585436744,0.04636273851568899,0.21711656588880143,0.3923816724611987
ethnicity,Indian,turnout,M3_probit,0.30967308391438836,,,
ethnicity,Indian,turnout,M2ml_logit_noprior,0.3096709679417675,,,
ethnicity,Indian,turnout,M4_context,0.5500493247237772,,,
ethnicity,Indian,turnout,M5_within_seat,0.34489979958840505,0.03603623289945482,0.26945607456408976,0.41150881611568124
ethnicity,Other,turnout,M1_lpm,0.3591655570127297,0.10295136513069346,0.08693406505128029,0.49070748238479833
ethnicity,Other,turnout,M2_logit,0.36142727538318264,0.09268623980593166,0.11232164511276903,0.48711190001009247
ethnicity,Other,turnout,M3_probit,0.36141949607588797,,,
ethnicity,Other,turnout,M2ml_logit_noprior,0.3614146036302801,,,
ethnicity,Other,turnout,M4_context,0.5138670740497062,,,
ethnicity,Other,turnout,M5_within_seat,0.24976282343995695,0.04528953141959763,0.15499880070156802,0.3255969878852285
ethnicity,Malay,BN,M1_lpm,0.3678634463557998,0.010827248770107665,0.3482956739561527,0.39082857510156366
ethnicity,Malay,BN,M2_logit,0.36165357062643744,0.010503103930408392,0.3425155560347566,0.3843626740070091
ethnicity,Malay,BN,M3_probit,0.3616552257241664,,,
ethnicity,Malay,BN,M2ml_logit_noprior,0.3616559593379697,,,
ethnicity,Malay,BN,M4_context,0.17415948278184454,,,
ethnicity,Malay,BN,M5_within_seat,0.3543870658373773,0.008813813506484995,0.33772034665151224,0.37296035874263955
ethnicity,Chinese,BN,M1_lpm,0.04348906579921011,0.009433895190097118,0.02564367742801105,0.06184573057724938
ethnicity,Chinese,BN,M2_logit,0.05430961517453614,0.007375788338109828,0.04100724940681559,0.06929546772896242
ethnicity,Chinese,BN,M3_probit,0.05430931216176532,,,
ethnicity,Chinese,BN,M2ml_logit_noprior,0.05430930140943174,,,
ethnicity,Chinese,BN,M4_context,0.17063536649632507,,,
ethnicity,Chinese,BN,M5_within_seat,0.06102852226895184,0.004973969139378576,0.052438707426269285,0.0704529328652012
ethnicity,Indian,BN,M1_lpm,0.12188064403007415,0.04275286783664679,0.03660605469416987,0.20528232615362488
ethnicity,Indian,BN,M2_logit,0.11281989675909798,0.03758085632794971,0.03943736438780491,0.18917965576359075
ethnicity,Indian,BN,M3_probit,0.11281224105393162,,,
ethnicity,Indian,BN,M2ml_logit_noprior,0.11280869990629612,,,
ethnicity,Indian,BN,M4_context,0.3452408685868056,,,
ethnicity,Indian,BN,M5_within_seat,0.1287725188332701,0.020296937380365594,0.09060278017355165,0.16685132438972727
ethnicity,Other,BN,M1_lpm,0.12824712577830075,0.08168449594982764,-0.07319509901447699,0.23972101397685344
ethnicity,Other,BN,M2_logit,0.15494845226403087,0.059637671939601185,0.001427683396751125,0.2380303225155779
ethnicity,Other,BN,M3_probit,0.15492633211916063,,,
ethnicity,Other,BN,M2ml_logit_noprior,0.15491534478076205,,,
ethnicity,Other,BN,M4_context,0.4207157180474885,,,
ethnicity,Other,BN,M5_within_seat,0.12682980204867783,0.02960982273818131,0.06601179557392939,0.1819673740937653
ethnicity,Malay,PH,M1_lpm,0.02549343857756656,0.004985850027824612,0.01684621408168221,0.03594071648803177
ethnicity,Malay,PH,M2_logit,0.022863856924504034,0.003302328151056653,0.017323748953963134,0.029961384590199577
ethnicity,Malay,PH,M3_probit,0.022865049149244875,,,
ethnicity,Malay,PH,M2ml_logit_noprior,0.022865515757156975,,,
ethnicity,Malay,PH,M4_context,0.018957667466791644,,,
ethnicity,Malay,PH,M5_within_seat,0.026835365823840256,0.0025260866113647083,0.02233245576435409,0.031697202631401626
ethnicity,Chinese,PH,M1_lpm,0.3246804972001907,0.024311422730498456,0.2678186911110187,0.3648030636216488
ethnicity,Chinese,PH,M2_logit,0.3204353209931506,0.024831591104838326,0.26103916502121516,0.36117440486793784
ethnicity,Chinese,PH,M3_probit,0.32043710392503,,,
ethnicity,Chinese,PH,M2ml_logit_noprior,0.3204377367516826,,,
ethnicity,Chinese,PH,M4_context,0.3265151628730059,,,
ethnicity,Chinese,PH,M5_within_seat,0.3119962000676064,0.023528576593997555,0.25908543928332023,0.35049892685472617
